,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Interior Lighting (MBtu),Receptacle Equipment (MBtu),Space Heating (MBtu),Service Water Heating (MBtu),Space Cooling (MBtu),Heat Rejection (MBtu),Interior Central Fans (MBtu),Interior Local Fans (MBtu),Exhaust Fans (MBtu),Pumps (MBtu),,,,,,,,
,,,,,,,,,,,,,,,,,,
Date,C.aps,C.aps,C.aps,C.aps,C.aps,C.aps,C.aps,C.aps,C.aps,C.aps,,,,,,,,
Jan 01-31,92.5519,130.5592,169.238,1.4896,0.0666,23.0448,17.2535,16.484,0,5.0535,,,,,,,,
Feb 01-28,86.6572,141.4048,110.324,1.3958,2.2806,22.9184,16.6969,15.117,0,4.8978,,,,,,,,
Mar 01-31,98.4837,181.4424,91.849,1.5869,4.1805,28.3192,19.2522,16.577,0,5.9949,,,,,,,,
Apr 01-30,94.5413,195.4504,59.74,1.5232,7.8138,27.548,19.3314,15.595,0,5.67,,,,,,,,
May 01-31,92.5519,130.5592,45.988,1.4896,16.8129,27.376,18.3227,15.605,0,5.4756,,,,,,,,
Jun 01-30,94.5413,153.7232,43.368,1.5232,24.2442,26.8312,19.074,15.652,0,5.4423,,,,,,,,
Jul 01-31,95.8986,177.8848,31.997,1.5442,23.5224,26.9616,19.9936,15.61,0,5.4306,,,,,,,,
Aug 01-31,95.1377,198.7944,33.71,1.5323,45.1926,27.1568,21.0254,15.615,0,5.4855,,,,,,,,
Sep 01-30,94.5413,132.8584,35.259,1.5232,43.5006,26.4704,19.3952,15.442,0,5.418,,,,,,,,
Oct 01-31,92.5519,152.1192,60.304,1.4896,14.2704,26.6544,18.799,15.794,0,5.5971,,,,,,,,
Nov 01-30,94.5413,174.5872,96.47,1.5232,3.4947,26.5336,18.1082,15.927,0,5.6808,,,,,,,,
Dec 01-31,98.4837,203.0008,145.985,1.5869,0.5193,27.1128,19.1015,16.889,0,5.8437,,,,,,,,
Summed total,1130.4818,1972.384,924.232,18.2077,185.8986,316.9272,226.3536,190.307,0,65.9898,,,,,,,,
